iter	Passed	Remaining
790	1048	277
791	1049	275
792	1050	274
793	1051	272
794	1052	271
795	1053	269
796	1054	268
797	1055	267
798	1056	265
799	1057	264
800	1060	263
801	1061	262
802	1063	260
803	1064	259
804	1065	258
805	1065	256
806	1066	255
807	1067	253
808	1068	252
809	1069	250
810	1070	249
811	1071	248
812	1072	246
813	1074	245
814	1076	244
815	1077	243
816	1078	241
817	1079	240
818	1080	238
819	1081	237
820	1082	235
821	1082	234
822	1083	233
823	1084	231
824	1085	230
825	1086	228
826	1087	227
827	1089	226
828	1091	225
829	1093	223
830	1094	222
831	1096	221
832	1097	219
833	1098	218
834	1099	217
835	1100	215
836	1102	214
837	1106	213
838	1107	212
839	1108	211
840	1110	209
841	1111	208
842	1112	207
843	1113	205
844	1115	204
845	1116	203
846	1117	201
847	1119	200
848	1120	199
849	1122	198
850	1123	196
851	1124	195
852	1125	193
853	1126	192
854	1129	191
855	1130	190
856	1131	188
857	1132	187
858	1137	186
859	1138	185
860	1139	184
861	1140	182
862	1141	181
863	1142	179
864	1143	178
865	1145	177
866	1146	175
867	1147	174
868	1148	173
869	1151	172
870	1152	170
871	1153	169
872	1154	167
873	1155	166
874	1156	165
875	1157	163
876	1157	162
877	1158	161
878	1159	159
879	1160	158
880	1161	156
881	1162	155
882	1165	154
883	1167	153
884	1168	151
885	1170	150
886	1171	149
887	1172	147
888	1173	146
889	1174	145
890	1174	143
891	1175	142
892	1177	141
893	1178	139
894	1182	138
895	1184	137
896	1185	136
897	1186	134
898	1187	133
899	1188	132
900	1189	130
901	1190	129
902	1191	127
903	1192	126
904	1193	125
905	1196	124
906	1197	122
907	1198	121
908	1199	120
909	1200	118
910	1201	117
911	1202	116
912	1203	114
913	1203	113
914	1204	111
915	1205	110
916	1206	109
917	1211	108
918	1212	106
919	1213	105
920	1214	104
921	1214	102
922	1216	101
923	1217	100
924	1218	98
925	1219	97
926	1220	96
927	1221	94
928	1224	93
929	1226	92
930	1227	90
931	1228	89
932	1230	88
933	1231	87
934	1232	85
935	1233	84
936	1234	82
937	1235	81
938	1236	80
939	1239	79
940	1240	77
941	1241	76
942	1243	75
943	1244	73
944	1245	72
945	1246	71
946	1247	69
947	1248	68
948	1249	67
949	1250	65
950	1251	64
951	1254	63
952	1256	61
953	1257	60
954	1258	59
955	1259	57
956	1260	56
957	1261	55
958	1261	53
959	1263	52
960	1264	51
961	1265	49
962	1266	48
963	1268	47
964	1271	46
965	1272	44
966	1273	43
967	1274	42
968	1275	40
969	1277	39
970	1277	38
971	1278	36
972	1279	35
973	1280	34
974	1281	32
975	1284	31
976	1285	30
977	1286	28
978	1287	27
979	1288	26
980	1289	24
981	1290	23
982	1290	22
983	1291	21
984	1292	19
985	1293	18
986	1294	17
987	1295	15
988	1296	14
989	1298	13
990	1300	11
991	1301	10
992	1301	9
993	1303	7
994	1304	6
995	1305	5
996	1306	3
997	1306	2
998	1307	1
999	1308	0
